geneId	geneName	type	specific_type	d0_r1	d0_r2	d0_r3	d14_r1	d14_r2	d14_r3	d14_r4	d28_r1	d28_r2	d28_r3
ENSG00000000003.14	TSPAN6	protein_coding	protein_coding	33.5842	34.8986	39.3606	50.941	50.4129	51.9089	48.8187	49.1261	47.4775	69.8386
ENSG00000000005.5	TNMD	protein_coding	protein_coding	0.1	0.1	0.962944	0.1	0.1	0.336784	0.1	0.569934	0.1	0.388618
ENSG00000000419.12	DPM1	protein_coding	protein_coding	39.5813	35.6707	50.1301	33.6523	27.0549	29.651	38.9366	37.0469	28.9044	33.0806
ENSG00000000457.13	SCYL3	protein_coding	protein_coding	1.50877	1.34785	1.89871	3.85549	2.58594	2.03194	2.62614	5.14794	4.4107	4.8867
ENSG00000000460.16	C1orf112	protein_coding	protein_coding	7.52098	8.10846	9.10321	1.02715	2.79388	1.55402	3.86061	1.61423	3.24809	6.73094
ENSG00000000938.12	FGR	protein_coding	protein_coding	0.1	0.351118	0.393023	0.224772	0.17702	0.1	0.1	0.1	0.1	0.1
ENSG00000000971.15	CFH	protein_coding	protein_coding	0.233223	1.22164	1.41278	2.42267	3.52416	1.41462	1.8053	0.1	0.1	3.00746
ENSG00000001036.13	FUCA2	protein_coding	protein_coding	35.321	36.5536	42.4173	43.2967	43.5799	39.6143	42.5206	29.0371	28.6699	29.7596
ENSG00000001084.12	GCLC	protein_coding	protein_coding	21.8314	13.9037	17.4234	14.6066	11.5153	11.7096	12.6162	6.42774	6.61843	11.2933
ENSG00000001167.14	NFYA	protein_coding	protein_coding	12.6125	12.922	9.08386	14.5504	13.7282	13.0396	9.85143	7.92888	11.678	22.2119
ENSG00000001460.17	STPG1	protein_coding	protein_coding	4.5669	3.64691	6.50607	7.90681	7.69497	4.33502	7.08957	7.54268	5.92525	11.4824
ENSG00000001461.16	NIPAL3	protein_coding	protein_coding	5.97613	4.57839	4.70249	7.01677	6.4586	4.85834	8.39907	4.4395	4.36148	5.73988
ENSG00000001497.16	LAS1L	protein_coding	protein_coding	34.919	32.4899	33.7668	23.7381	20.2015	24.1024	22.7915	24.5985	29.0352	21.8918
ENSG00000001561.6	ENPP4	protein_coding	protein_coding	1.15366	1.23594	1.24496	3.54638	3.97521	3.80723	4.08149	4.34726	3.50571	2.67112
ENSG00000001617.11	SEMA3F	protein_coding	protein_coding	15.6293	14.3533	11.3233	5.89868	6.61505	8.38163	5.89246	4.48247	5.11991	3.68506
ENSG00000001626.15	CFTR	protein_coding	protein_coding	0.826047	0.181567	0.274396	0.394315	1.13927	1.57544	1.46531	2.69456	0.1	0.335817
ENSG00000001629.9	ANKIB1	protein_coding	protein_coding	11.2068	12.6245	10.9775	13.4639	9.29605	11.9519	15.1091	8.87063	10.8254	18.5933
ENSG00000001630.16	CYP51A1	protein_coding	protein_coding	26.9816	23.6149	22.082	14.0225	13.7362	18.0777	13.8236	26.5024	27.6595	47.823
ENSG00000001631.15	KRIT1	protein_coding	protein_coding	14.2921	12.9822	12.2177	7.08785	9.68511	11.6033	13.5223	11.0687	12.0915	13.8699
ENSG00000002016.17	RAD52	protein_coding	protein_coding	6.99648	4.74765	3.39026	11.7663	9.33812	8.68639	9.38769	7.25313	8.15688	6.88779
ENSG00000002330.13	BAD	protein_coding	protein_coding	17.0204	19.5153	16.0808	26.9233	27.486	28.8158	27.5989	44.6888	28.5998	68.5333
ENSG00000002549.12	LAP3	protein_coding	protein_coding	27.2706	32.5605	31.2677	22.6794	21.2677	19.4499	21.7274	22.5818	21.2615	26.3556
ENSG00000002586.19	CD99	protein_coding	protein_coding	38.2408	33.8665	34.9667	102.014	96.017	94.8643	92.0881	90.1128	83.0391	47.6896
ENSG00000002587.9	HS3ST1	protein_coding	protein_coding	1.01047	1.02558	0.426433	1.23212	0.147981	0.404239	0.219706	0.0855572	0.1	2.26015
ENSG00000002726.20	AOC1	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000002745.12	WNT16	protein_coding	protein_coding	0.123896	0.1	0.12471	0.1	0.1	0.382814	0.11578	0.1	0.397533	0.0729298
ENSG00000002746.14	HECW1	protein_coding	protein_coding	0.330424	1.38649	0.0744238	0.0836864	0.1	0.354917	0.87731	0.216292	2.5155	1.46255
ENSG00000002822.15	MAD1L1	protein_coding	protein_coding	13.267	20.7469	15.109	15.081	9.93467	15.9912	9.60153	18.7107	18.7755	15.1736
ENSG00000002834.17	LASP1	protein_coding	protein_coding	56.9824	59.0074	57.9084	51.2281	46.4858	47.1881	45.2532	39.1715	42.0126	42.7115
ENSG00000002919.14	SNX11	protein_coding	protein_coding	9.45483	10.4288	5.66699	11.1907	9.0186	10.108	7.0297	8.69577	13.5347	15.4369
ENSG00000002933.8	TMEM176A	protein_coding	protein_coding	2.29057	0.427788	0.337263	4.89701	6.18962	5.93774	6.83774	15.0057	12.7433	2.2273
ENSG00000003056.7	M6PR	protein_coding	protein_coding	108.515	115.955	102.428	105.978	84.7966	72.0423	110.891	68.6164	59.3685	64.5659
ENSG00000003096.14	KLHL13	protein_coding	protein_coding	2.80908	2.24398	2.65915	2.48522	1.59101	3.27433	3.47382	5.83556	7.00907	4.58009
ENSG00000003137.8	CYP26B1	protein_coding	protein_coding	0.1	0.0844739	0.1	1.34109	0.301187	0.940989	0.178951	1.5779	0.408059	0.793548
ENSG00000003147.18	ICA1	protein_coding	protein_coding	24.236	25.277	28.2155	16.262	23.6903	29.7293	20.7727	33.6951	20.312	4.68502
ENSG00000003249.13	DBNDD1	protein_coding	protein_coding	32.0903	26.2414	27.3837	11.3386	9.17097	8.27999	9.37058	11.9171	11.5287	5.67313
ENSG00000003393.14	ALS2	protein_coding	protein_coding	9.13261	10.0791	11.1307	7.886	9.39882	14.6196	10.0195	14.2852	9.29505	14.9516
ENSG00000003400.14	CASP10	protein_coding	protein_coding	4.1351	3.32295	2.56354	2.02814	2.71593	2.18068	4.06737	0.178738	0.339259	0.124161
ENSG00000003402.19	CFLAR	protein_coding	protein_coding	12.7973	13.2813	10.2278	13.0897	10.9346	17.6032	13.4993	8.40818	14.1228	4.77568
ENSG00000003436.15	TFPI	protein_coding	protein_coding	17.5437	12.5527	9.99997	18.2923	13.7961	21.5361	23.3074	6.90271	11.0167	8.42171
ENSG00000003509.15	NDUFAF7	protein_coding	protein_coding	100.889	99.8333	99.8924	20.7121	20.0036	19.5256	21.4992	16.9551	13.8613	17.2591
ENSG00000003756.16	RBM5	protein_coding	protein_coding	48.3266	43.294	54.2124	87.8114	102.926	110.056	102.051	157.182	123.792	106.895
ENSG00000003987.13	MTMR7	protein_coding	protein_coding	1.9095	2.60963	1.15671	0.388604	0.917892	1.02698	0.637023	3.43587	3.16688	3.10231
ENSG00000003989.17	SLC7A2	protein_coding	protein_coding	4.3211	3.92611	4.80735	1.47367	1.41682	1.61267	1.54266	0.819091	0.747672	0.620156
ENSG00000004059.10	ARF5	protein_coding	protein_coding	136.553	120.758	130.303	148.829	167.98	168.851	158.641	212.608	233.448	222.86
ENSG00000004139.13	SARM1	protein_coding	protein_coding	3.29491	0.512981	2.78222	5.77892	3.93716	5.43614	3.88044	16.1604	12.424	13.8527
ENSG00000004142.11	POLDIP2	protein_coding	protein_coding	38.31	39.1841	39.6666	43.4718	42.8971	43.448	43.8801	47.9029	44.0425	43.5354
ENSG00000004399.12	PLXND1	protein_coding	protein_coding	84.2893	83.6567	76.821	75.5949	63.5977	78.408	72.2802	29.4579	30.5193	3.44942
ENSG00000004455.16	AK2	protein_coding	protein_coding	56.4869	55.1431	54.3806	54.6394	55.6276	72.2469	48.9918	57.1055	59.2072	53.5946
ENSG00000004468.12	CD38	protein_coding	protein_coding	0.1	0.24089	0.0676881	0.1	0.1	0.1	0.1	0.1	0.0772561	0.1
ENSG00000004478.7	FKBP4	protein_coding	protein_coding	65.8071	60.8847	69.4402	55.7611	52.3225	61.7466	58.747	52.5307	49.6229	36.0997
ENSG00000004487.16	KDM1A	protein_coding	protein_coding	100.586	91.2312	81.7968	74.5266	69.0002	63.5022	61.615	132.644	113.367	88.2708
ENSG00000004534.14	RBM6	protein_coding	protein_coding	30.3237	36.9658	26.4683	54.2905	41.1202	46.5401	38.4274	60.2733	59.185	33.7151
ENSG00000004660.14	CAMKK1	protein_coding	protein_coding	4.44666	3.76206	3.82112	7.18641	3.37119	4.49865	5.24766	5.34041	3.05011	1.73772
ENSG00000004700.15	RECQL	protein_coding	protein_coding	21.8372	15.7558	17.4665	12.2555	11.5835	13.0917	13.8035	9.34018	14.9473	20.36
ENSG00000004766.16	VPS50	protein_coding	protein_coding	2.94201	4.13321	5.58509	6.21034	8.18226	5.73751	8.28439	7.96814	10.1547	10.4583
ENSG00000004776.12	HSPB6	protein_coding	protein_coding	1.39606	0.756054	2.29211	0.519133	1.43077	0.494682	1.31369	2.59101	0.1	0.198676
ENSG00000004777.18	ARHGAP33	protein_coding	protein_coding	8.96852	8.41378	13.5545	5.12155	4.41778	4.29185	6.52394	28.1362	24.758	11.6752
ENSG00000004779.9	NDUFAB1	protein_coding	protein_coding	224.275	212.433	210.404	101.073	99.7057	88.2059	106.238	84.2054	112.209	160.461
