geneId	geneName	type	specific_type	d0_r1	d0_r2	d0_r3	d14_r1	d14_r2	d14_r3	d14_r4	d28_r1	d28_r2	d28_r3
ENSG00000000003.14	TSPAN6	protein_coding	protein_coding	195	235	218	255	279	275	293	145	237	1927
ENSG00000000005.5	TNMD	protein_coding	protein_coding	0	0	1	0	1	1	0	1	0	6
ENSG00000000419.12	DPM1	protein_coding	protein_coding	111	115	138	78	75	79	113	56	70	437
ENSG00000000457.13	SCYL3	protein_coding	protein_coding	12	11	14	22	19	15	20	18	24	187
ENSG00000000460.16	C1orf112	protein_coding	protein_coding	35	37	39	7	12	10	15	5	14	157
ENSG00000000938.12	FGR	protein_coding	protein_coding	0	2	1	1	2	0	0	0	0	0
ENSG00000000971.15	CFH	protein_coding	protein_coding	2	9	12	16	19	11	14	0	0	99
ENSG00000001036.13	FUCA2	protein_coding	protein_coding	152	169	161	152	150	151	209	60	113	591
ENSG00000001084.12	GCLC	protein_coding	protein_coding	117	116	118	62	76	69	88	29	48	247
ENSG00000001167.14	NFYA	protein_coding	protein_coding	88	99	77	113	102	101	107	37	82	782
ENSG00000001460.17	STPG1	protein_coding	protein_coding	30	29	36	22	44	22	38	24	35	325
ENSG00000001461.16	NIPAL3	protein_coding	protein_coding	46	42	47	60	56	60	73	23	44	318
ENSG00000001497.16	LAS1L	protein_coding	protein_coding	227	238	206	135	117	147	165	111	168	748
ENSG00000001561.6	ENPP4	protein_coding	protein_coding	14	17	15	38	46	43	55	29	37	161
ENSG00000001617.11	SEMA3F	protein_coding	protein_coding	88	122	102	55	40	53	60	19	33	137
ENSG00000001626.15	CFTR	protein_coding	protein_coding	1	3	4	4	6	8	4	2	0	12
ENSG00000001629.9	ANKIB1	protein_coding	protein_coding	124	149	124	145	127	145	183	80	113	974
ENSG00000001630.16	CYP51A1	protein_coding	protein_coding	4	4	5	3	1	2	2	3	4	110
ENSG00000001631.15	KRIT1	protein_coding	protein_coding	9	15	16	13	9	11	11	7	12	40
ENSG00000002016.17	RAD52	protein_coding	protein_coding	30	30	16	52	43	46	57	25	27	156
ENSG00000002330.13	BAD	protein_coding	protein_coding	8	14	10	17	17	14	17	16	18	197
ENSG00000002549.12	LAP3	protein_coding	protein_coding	125	169	150	100	91	91	118	60	91	623
ENSG00000002586.19	CD99	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000002587.9	HS3ST1	protein_coding	protein_coding	12	7	9	3	3	8	5	1	0	73
ENSG00000002726.20	AOC1	protein_coding	protein_coding	0	0	1	0	0	0	0	0	0	1
ENSG00000002745.12	WNT16	protein_coding	protein_coding	1	0	1	0	0	2	1	0	1	2
ENSG00000002746.14	HECW1	protein_coding	protein_coding	4	9	1	0	0	3	6	3	16	84
ENSG00000002822.15	MAD1L1	protein_coding	protein_coding	61	77	67	36	55	46	47	39	55	376
ENSG00000002834.17	LASP1	protein_coding	protein_coding	454	566	483	355	373	359	401	189	306	1879
ENSG00000002919.14	SNX11	protein_coding	protein_coding	57	56	33	47	51	41	45	25	65	372
ENSG00000002933.8	TMEM176A	protein_coding	protein_coding	5	1	1	13	15	14	18	28	30	32
ENSG00000003056.7	M6PR	protein_coding	protein_coding	279	330	276	216	208	198	258	105	174	907
ENSG00000003096.14	KLHL13	protein_coding	protein_coding	25	20	22	17	11	26	26	26	50	170
ENSG00000003137.8	CYP26B1	protein_coding	protein_coding	0	1	0	4	4	4	2	6	5	24
ENSG00000003147.18	ICA1	protein_coding	protein_coding	80	93	86	51	59	55	61	56	78	78
ENSG00000003249.13	DBNDD1	protein_coding	protein_coding	164	153	146	48	43	38	53	34	53	141
ENSG00000003393.14	ALS2	protein_coding	protein_coding	141	183	152	95	119	117	142	63	108	943
ENSG00000003400.14	CASP10	protein_coding	protein_coding	41	39	34	20	18	18	32	1	2	9
ENSG00000003402.19	CFLAR	protein_coding	protein_coding	62	64	61	86	69	79	94	32	84	203
ENSG00000003436.15	TFPI	protein_coding	protein_coding	65	66	54	50	58	65	79	18	46	171
ENSG00000003509.15	NDUFAF7	protein_coding	protein_coding	363	395	354	53	68	67	76	40	44	284
ENSG00000003756.16	RBM5	protein_coding	protein_coding	137	173	170	325	370	384	441	305	444	1684
ENSG00000003987.13	MTMR7	protein_coding	protein_coding	9	7	9	4	7	4	5	12	19	78
ENSG00000003989.17	SLC7A2	protein_coding	protein_coding	80	89	89	26	27	30	34	9	13	62
ENSG00000004059.10	ARF5	protein_coding	protein_coding	187	196	184	202	233	218	247	174	293	1689
