geneId	cluster	row_order	cluster_display_rank	geneName	gene_id	type	specific_type
ENSG00000280322.1	6	1	1	AL035425.4	ENSG00000280322	lncRNA	TEC
ENSG00000205856.3	6	2	1	C22orf42	ENSG00000205856	protein_coding	protein_coding
ENSG00000183690.12	6	3	1	EFHC2	ENSG00000183690	protein_coding	protein_coding
ENSG00000153162.8	6	4	1	BMP6	ENSG00000153162	protein_coding	protein_coding
ENSG00000275713.2	6	5	1	HIST1H2BH	ENSG00000275713	protein_coding	protein_coding
ENSG00000129654.7	6	6	1	FOXJ1	ENSG00000129654	protein_coding	protein_coding
ENSG00000149256.15	6	7	1	TENM4	ENSG00000149256	protein_coding	protein_coding
ENSG00000005102.12	6	8	1	MEOX1	ENSG00000005102	protein_coding	protein_coding
ENSG00000198822.10	6	9	1	GRM3	ENSG00000198822	protein_coding	protein_coding
ENSG00000110975.8	6	10	1	SYT10	ENSG00000110975	protein_coding	protein_coding
ENSG00000161610.1	6	11	1	HCRT	ENSG00000161610	protein_coding	protein_coding
ENSG00000116745.6	6	12	1	RPE65	ENSG00000116745	protein_coding	protein_coding
ENSG00000147724.11	6	13	1	FAM135B	ENSG00000147724	protein_coding	protein_coding
ENSG00000230873.8	6	14	1	STMND1	ENSG00000230873	protein_coding	protein_coding
ENSG00000182050.13	6	15	1	MGAT4C	ENSG00000182050	protein_coding	protein_coding
ENSG00000102468.10	6	16	1	HTR2A	ENSG00000102468	protein_coding	protein_coding
ENSG00000170689.9	6	17	1	HOXB9	ENSG00000170689	protein_coding	protein_coding
ENSG00000151572.17	6	18	1	ANO4	ENSG00000151572	protein_coding	protein_coding
ENSG00000139445.17	6	19	1	FOXN4	ENSG00000139445	protein_coding	protein_coding
ENSG00000236333.3	6	20	1	TRHDE-AS1	ENSG00000236333	lncRNA	processed_transcript
ENSG00000135363.11	6	21	1	LMO2	ENSG00000135363	protein_coding	protein_coding
ENSG00000123810.7	6	22	1	B9D2	ENSG00000123810	protein_coding	protein_coding
ENSG00000183036.10	6	23	1	PCP4	ENSG00000183036	protein_coding	protein_coding
ENSG00000184005.10	6	24	1	ST6GALNAC3	ENSG00000184005	protein_coding	protein_coding
ENSG00000157890.17	6	25	1	MEGF11	ENSG00000157890	protein_coding	protein_coding
ENSG00000262484.1	6	26	1	CCER2	ENSG00000262484	protein_coding	protein_coding
ENSG00000278175.3	6	27	1	GLIDR	ENSG00000278175	lncRNA	lincRNA
ENSG00000197748.12	6	28	1	CFAP43	ENSG00000197748	protein_coding	protein_coding
ENSG00000137573.13	6	29	1	SULF1	ENSG00000137573	protein_coding	protein_coding
ENSG00000154975.13	6	30	1	CA10	ENSG00000154975	protein_coding	protein_coding
ENSG00000179520.10	6	31	1	SLC17A8	ENSG00000179520	protein_coding	protein_coding
ENSG00000250742.2	6	32	1	LINC02381	ENSG00000250742	lncRNA	lincRNA
ENSG00000167941.2	6	33	1	SOST	ENSG00000167941	protein_coding	protein_coding
ENSG00000128610.11	6	34	1	FEZF1	ENSG00000128610	protein_coding	protein_coding
ENSG00000069431.11	6	35	1	ABCC9	ENSG00000069431	protein_coding	protein_coding
ENSG00000171864.4	6	36	1	PRND	ENSG00000171864	protein_coding	protein_coding
ENSG00000143032.7	6	37	1	BARHL2	ENSG00000143032	protein_coding	protein_coding
ENSG00000215217.6	6	38	1	C5orf49	ENSG00000215217	protein_coding	protein_coding
ENSG00000182103.4	6	39	1	FAM181B	ENSG00000182103	protein_coding	protein_coding
ENSG00000180440.3	6	40	1	SERTM1	ENSG00000180440	protein_coding	protein_coding
ENSG00000198947.15	6	41	1	DMD	ENSG00000198947	protein_coding	protein_coding
ENSG00000140022.11	6	42	1	STON2	ENSG00000140022	protein_coding	protein_coding
ENSG00000186638.16	6	43	1	KIF24	ENSG00000186638	protein_coding	protein_coding
ENSG00000137142.4	6	44	1	IGFBPL1	ENSG00000137142	protein_coding	protein_coding
ENSG00000135333.13	6	45	1	EPHA7	ENSG00000135333	protein_coding	protein_coding
ENSG00000267586.6	6	46	1	LINC00907	ENSG00000267586	lncRNA	lincRNA
ENSG00000251602.6	6	47	1	AL928654.1	ENSG00000251602	lncRNA	antisense
ENSG00000136161.12	6	48	1	RCBTB2	ENSG00000136161	protein_coding	protein_coding
ENSG00000260804.3	6	49	1	LINC01963	ENSG00000260804	lncRNA	lincRNA
ENSG00000154099.17	6	50	1	DNAAF1	ENSG00000154099	protein_coding	protein_coding
ENSG00000146374.13	6	51	1	RSPO3	ENSG00000146374	protein_coding	protein_coding
ENSG00000146242.8	6	52	1	TPBG	ENSG00000146242	protein_coding	protein_coding
ENSG00000136944.17	6	53	1	LMX1B	ENSG00000136944	protein_coding	protein_coding
ENSG00000183145.8	6	54	1	RIPPLY3	ENSG00000183145	protein_coding	protein_coding
ENSG00000169884.13	6	55	1	WNT10B	ENSG00000169884	protein_coding	protein_coding
ENSG00000197565.15	6	56	1	COL4A6	ENSG00000197565	protein_coding	protein_coding
ENSG00000163629.12	6	57	1	PTPN13	ENSG00000163629	protein_coding	protein_coding
ENSG00000107105.14	6	58	1	ELAVL2	ENSG00000107105	protein_coding	protein_coding
ENSG00000122012.13	6	59	1	SV2C	ENSG00000122012	protein_coding	protein_coding
ENSG00000162761.14	6	60	1	LMX1A	ENSG00000162761	protein_coding	protein_coding
ENSG00000100626.16	6	61	1	GALNT16	ENSG00000100626	protein_coding	protein_coding
ENSG00000077264.14	6	62	1	PAK3	ENSG00000077264	protein_coding	protein_coding
ENSG00000123933.16	6	63	1	MXD4	ENSG00000123933	protein_coding	protein_coding
ENSG00000145920.14	6	64	1	CPLX2	ENSG00000145920	protein_coding	protein_coding
ENSG00000171033.12	6	65	1	PKIA	ENSG00000171033	protein_coding	protein_coding
ENSG00000110900.14	6	66	1	TSPAN11	ENSG00000110900	protein_coding	protein_coding
ENSG00000180875.4	6	67	1	GREM2	ENSG00000180875	protein_coding	protein_coding
ENSG00000260855.1	6	68	1	AL591848.4	ENSG00000260855	lncRNA	lincRNA
ENSG00000115266.11	6	69	1	APC2	ENSG00000115266	protein_coding	protein_coding
ENSG00000181378.13	6	70	1	CFAP65	ENSG00000181378	protein_coding	protein_coding
ENSG00000118271.10	6	71	1	TTR	ENSG00000118271	protein_coding	protein_coding
ENSG00000227051.6	6	72	1	C14orf132	ENSG00000227051	protein_coding	protein_coding
ENSG00000157423.17	6	73	1	HYDIN	ENSG00000157423	protein_coding	protein_coding
ENSG00000172602.10	6	74	1	RND1	ENSG00000172602	protein_coding	protein_coding
ENSG00000180891.12	6	75	1	CUEDC1	ENSG00000180891	protein_coding	protein_coding
ENSG00000145526.11	6	76	1	CDH18	ENSG00000145526	protein_coding	protein_coding
ENSG00000242419.5	6	77	1	PCDHGC4	ENSG00000242419	protein_coding	protein_coding
ENSG00000152583.12	6	78	1	SPARCL1	ENSG00000152583	protein_coding	protein_coding
ENSG00000128594.7	6	79	1	LRRC4	ENSG00000128594	protein_coding	protein_coding
ENSG00000104894.11	6	80	1	CD37	ENSG00000104894	protein_coding	protein_coding
ENSG00000150873.11	6	81	1	C2orf50	ENSG00000150873	protein_coding	protein_coding
ENSG00000106689.10	6	82	1	LHX2	ENSG00000106689	protein_coding	protein_coding
ENSG00000153531.13	6	83	1	ADPRHL1	ENSG00000153531	protein_coding	protein_coding
ENSG00000181418.7	6	84	1	DDN	ENSG00000181418	protein_coding	protein_coding
ENSG00000158792.15	6	85	1	SPATA2L	ENSG00000158792	protein_coding	protein_coding
ENSG00000147655.10	6	86	1	RSPO2	ENSG00000147655	protein_coding	protein_coding
ENSG00000258584.2	6	87	1	FAM181A-AS1	ENSG00000258584	lncRNA	antisense
ENSG00000144792.9	6	88	1	ZNF660	ENSG00000144792	protein_coding	protein_coding
ENSG00000174776.11	6	89	1	WDR49	ENSG00000174776	protein_coding	protein_coding
ENSG00000116106.11	6	90	1	EPHA4	ENSG00000116106	protein_coding	protein_coding
ENSG00000178796.12	6	91	1	RIIAD1	ENSG00000178796	protein_coding	protein_coding
ENSG00000153347.9	6	92	1	FAM81B	ENSG00000153347	protein_coding	protein_coding
ENSG00000279607.1	6	93	1	AL358613.2	ENSG00000279607	lncRNA	lincRNA
ENSG00000149201.9	6	94	1	CCDC81	ENSG00000149201	protein_coding	protein_coding
ENSG00000102760.12	6	95	1	RGCC	ENSG00000102760	protein_coding	protein_coding
ENSG00000164100.8	6	96	1	NDST3	ENSG00000164100	protein_coding	protein_coding
ENSG00000131019.10	6	97	1	ULBP3	ENSG00000131019	protein_coding	protein_coding
ENSG00000172260.14	6	98	1	NEGR1	ENSG00000172260	protein_coding	protein_coding
ENSG00000165695.9	6	99	1	AK8	ENSG00000165695	protein_coding	protein_coding
ENSG00000091656.16	6	100	1	ZFHX4	ENSG00000091656	protein_coding	protein_coding
ENSG00000104290.10	6	101	1	FZD3	ENSG00000104290	protein_coding	protein_coding
ENSG00000174007.7	6	102	1	CEP19	ENSG00000174007	protein_coding	protein_coding
ENSG00000185681.12	6	103	1	MORN5	ENSG00000185681	protein_coding	protein_coding
ENSG00000185942.11	6	104	1	NKAIN3	ENSG00000185942	protein_coding	protein_coding
ENSG00000142609.18	6	105	1	CFAP74	ENSG00000142609	protein_coding	protein_coding
ENSG00000171811.13	6	106	1	CFAP46	ENSG00000171811	protein_coding	protein_coding
ENSG00000131044.17	6	107	1	TTLL9	ENSG00000131044	protein_coding	protein_coding
ENSG00000118307.18	6	108	1	CASC1	ENSG00000118307	protein_coding	protein_coding
ENSG00000196604.12	6	109	1	POTEF	ENSG00000196604	protein_coding	protein_coding
ENSG00000134245.17	6	110	1	WNT2B	ENSG00000134245	protein_coding	protein_coding
ENSG00000187905.10	6	111	1	LRRC74B	ENSG00000187905	protein_coding	protein_coding
ENSG00000034239.10	6	112	1	EFCAB1	ENSG00000034239	protein_coding	protein_coding
ENSG00000186352.8	6	113	1	ANKRD37	ENSG00000186352	protein_coding	protein_coding
ENSG00000115423.18	6	114	1	DNAH6	ENSG00000115423	protein_coding	protein_coding
ENSG00000163491.16	6	115	1	NEK10	ENSG00000163491	protein_coding	protein_coding
ENSG00000172159.15	6	116	1	FRMD3	ENSG00000172159	protein_coding	protein_coding
ENSG00000164675.10	6	117	1	IQUB	ENSG00000164675	protein_coding	protein_coding
ENSG00000162599.15	6	118	1	NFIA	ENSG00000162599	protein_coding	protein_coding
ENSG00000280128.1	6	119	1	AL662795.2	ENSG00000280128	lncRNA	TEC
ENSG00000116194.12	6	120	1	ANGPTL1	ENSG00000116194	protein_coding	protein_coding
ENSG00000064199.6	6	121	1	SPA17	ENSG00000064199	protein_coding	protein_coding
