geneId	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	comparison	mean_norm_a	mean_norm_b	fc_norm	abs_fc_norm	direction	max_fpkm_pair	geneName	raw_biotype	biotype	fc_for_filter	lfc_equiv_for_filter	is_deg
ENSG00000124762.13	1282.7109017170237	-3.6335885097208	0.10938831187938733	-33.21733782423877	6.050003627239002e-242	1.0271696158326378e-237	ENSG00000124762	D14 vs D28	2116.796138549559	170.5972526069771	0.08059219756696613	12.408149053995881	Down	352.605	CDKN1A	protein_coding	Protein-coding	12.408149053995881	3.6332160169807968	TRUE
ENSG00000115414.18	7040.955013959741	-2.683307248864328	0.08766233317006127	-30.60958055563983	9.12619996699244e-206	7.7472311519798825e-202	ENSG00000115414	D14 vs D28	11034.011946578345	1716.8791038016059	0.15559880776946333	6.426784461495421	Down	1121.08	FN1	protein_coding	Protein-coding	6.426784461495421	2.6840970887513835	TRUE
ENSG00000164733.20	2835.4443534946527	-2.6714227123881886	0.09021057724124666	-29.613187212449667	1.0108193012112075e-192	5.720563365321293e-189	ENSG00000164733	D14 vs D28	4439.432557589218	696.7934147018992	0.15695551304428076	6.371232081015702	Down	702.3	CTSB	protein_coding	Protein-coding	6.371232081015702	2.671572390580542	TRUE
ENSG00000157227.12	2713.5735482134146	-3.699632842183297	0.12732773630549238	-29.05598536132705	1.292919317163949e-185	5.4877960417023815e-182	ENSG00000157227	D14 vs D28	4494.157604360175	339.46147335106747	0.07553394945956639	13.239080005147935	Down	417.55	MMP14	protein_coding	Protein-coding	13.239080005147935	3.726730966418726	TRUE
ENSG00000087086.14	7502.947757082169	-2.3859317950410484	0.08407851449063997	-28.377425665705143	3.841237068184435e-177	1.3043304588727068e-173	ENSG00000087086	D14 vs D28	11484.068716011921	2194.7864785091665	0.19111575633895642	5.232430957845432	Down	5320.45	FTL	protein_coding	Protein-coding	5.232430957845432	2.3874813701826256	TRUE
ENSG00000118785.13	516.20250415820135	-4.912804554118483	0.17426994785786226	-28.19077307652296	7.587540510191643e-175	2.1470210463672284e-171	ENSG00000118785	D14 vs D28	881.3860646261347	29.29109020095689	0.03323298538124896	30.090585860042225	Down	239.224	SPP1	protein_coding	Protein-coding	30.090585860042225	4.911240290928815	TRUE
ENSG00000130513.6	464.0438064348469	-5.378245953452997	0.2026574622661107	-26.538603085786157	3.4769516461291216e-155	8.433097863997175e-152	ENSG00000130513	D14 vs D28	798.8593205784216	17.623120910080583	0.02206035588008211	45.33018440119008	Down	258.58	GDF15	protein_coding	Protein-coding	45.33018440119008	5.5024001249429695	TRUE
ENSG00000121769.7	708.5731967763428	-5.486467783934763	0.22000712190466953	-24.93768263698338	2.9048365528563907e-137	6.164789374299476e-134	ENSG00000121769	D14 vs D28	1217.9027602738843	29.467112112954112	0.024194962910115657	41.33091684062514	Down	686.203	FABP3	protein_coding	Protein-coding	41.33091684062514	5.369149462150557	TRUE
ENSG00000077279.18	519.4035211779009	3.9501545252538266	0.15891225414016097	24.85745700749913	2.14776369732832e-136	4.051636894804469e-133	ENSG00000077279	D14 vs D28	71.98577209184063	1115.9605199593143	15.502515115564137	15.502515115564137	Up	48.0225	DCX	protein_coding	Protein-coding	15.502515115564137	3.954430391057174	TRUE
ENSG00000087245.12	1485.3598011322972	-2.380954107531604	0.09955401139525029	-23.916204622621557	2.0775963413768767e-126	3.527343068389661e-123	ENSG00000087245	D14 vs D28	2272.0135540289666	436.48813060340467	0.19211510856939182	5.205212684450587	Down	400.526	MMP2	protein_coding	Protein-coding	5.205212684450587	2.3799571130988233	TRUE
