comparison	top_n	category	n	p_lnc	p_pc	star
D0 vs D14	10	lncRNA down	6	0.001543243560125098	0.9998478392891779	*
D0 vs D14	10	lncRNA up	0	NA	NA	
D0 vs D14	10	Protein-coding down	2	0.001543243560125098	0.9998478392891779	*
D0 vs D14	10	Protein-coding up	2	0.001543243560125098	0.9998478392891779	*
D0 vs D14	20	lncRNA down	10	2.8561778576088003e-4	0.9999553685488489	*
D0 vs D14	20	lncRNA up	0	NA	NA	
D0 vs D14	20	Protein-coding down	7	2.8561778576088003e-4	0.9999553685488489	*
D0 vs D14	20	Protein-coding up	3	2.8561778576088003e-4	0.9999553685488489	*
D0 vs D14	30	lncRNA down	17	1.8465778331589164e-7	0.9999999772073096	*
D0 vs D14	30	lncRNA up	0	NA	NA	
D0 vs D14	30	Protein-coding down	9	1.8465778331589164e-7	0.9999999772073096	*
D0 vs D14	30	Protein-coding up	4	1.8465778331589164e-7	0.9999999772073096	*
D0 vs D14	40	lncRNA down	18	6.685388328276266e-6	0.9999986815284846	*
D0 vs D14	40	lncRNA up	0	NA	NA	
D0 vs D14	40	Protein-coding down	17	6.685388328276266e-6	0.9999986815284846	*
D0 vs D14	40	Protein-coding up	5	6.685388328276266e-6	0.9999986815284846	*
D0 vs D14	50	lncRNA down	21	4.360586586542014e-6	0.999999025644267	*
D0 vs D14	50	lncRNA up	0	NA	NA	
D0 vs D14	50	Protein-coding down	21	4.360586586542014e-6	0.999999025644267	*
D0 vs D14	50	Protein-coding up	8	4.360586586542014e-6	0.999999025644267	*
D0 vs D28	10	lncRNA down	2	0.41714054503779585	0.8467251713882015	*
D0 vs D28	10	lncRNA up	0	NA	NA	
D0 vs D28	10	Protein-coding down	2	0.41714054503779585	0.8467251713882015	*
D0 vs D28	10	Protein-coding up	6	0.41714054503779585	0.8467251713882015	*
D0 vs D28	20	lncRNA down	4	0.3020000754642263	0.8644155197377046	*
D0 vs D28	20	lncRNA up	0	NA	NA	
D0 vs D28	20	Protein-coding down	6	0.3020000754642263	0.8644155197377046	*
D0 vs D28	20	Protein-coding up	10	0.3020000754642263	0.8644155197377046	*
D0 vs D28	30	lncRNA down	6	0.11413765909581262	0.9518960757967077	*
D0 vs D28	30	lncRNA up	1	0.11413765909581262	0.9518960757967077	*
D0 vs D28	30	Protein-coding down	7	0.11413765909581262	0.9518960757967077	*
D0 vs D28	30	Protein-coding up	16	0.11413765909581262	0.9518960757967077	*
D0 vs D28	40	lncRNA down	9	0.01772026496011958	0.9935403061302793	*
D0 vs D28	40	lncRNA up	2	0.01772026496011958	0.9935403061302793	*
D0 vs D28	40	Protein-coding down	8	0.01772026496011958	0.9935403061302793	*
D0 vs D28	40	Protein-coding up	21	0.01772026496011958	0.9935403061302793	*
D0 vs D28	50	lncRNA down	11	0.016692031254436086	0.9933485439345993	*
D0 vs D28	50	lncRNA up	2	0.016692031254436086	0.9933485439345993	*
D0 vs D28	50	Protein-coding down	10	0.016692031254436086	0.9933485439345993	*
D0 vs D28	50	Protein-coding up	27	0.016692031254436086	0.9933485439345993	*
D14 vs D28	10	lncRNA down	0	NA	NA	
D14 vs D28	10	lncRNA up	0	NA	NA	
D14 vs D28	10	Protein-coding down	2	1	0.2952575233888825	
D14 vs D28	10	Protein-coding up	8	1	0.2952575233888825	
D14 vs D28	20	lncRNA down	2	0.6868735073472564	0.5939681768132306	
D14 vs D28	20	lncRNA up	0	NA	NA	
D14 vs D28	20	Protein-coding down	4	0.6868735073472564	0.5939681768132306	
D14 vs D28	20	Protein-coding up	14	0.6868735073472564	0.5939681768132306	
D14 vs D28	30	lncRNA down	4	0.25382431479003054	0.8811189567830229	*
D14 vs D28	30	lncRNA up	1	0.25382431479003054	0.8811189567830229	*
D14 vs D28	30	Protein-coding down	7	0.25382431479003054	0.8811189567830229	*
D14 vs D28	30	Protein-coding up	18	0.25382431479003054	0.8811189567830229	*
D14 vs D28	40	lncRNA down	6	0.16438964818179094	0.9225189281414954	*
D14 vs D28	40	lncRNA up	1	0.16438964818179094	0.9225189281414954	*
D14 vs D28	40	Protein-coding down	10	0.16438964818179094	0.9225189281414954	*
D14 vs D28	40	Protein-coding up	23	0.16438964818179094	0.9225189281414954	*
D14 vs D28	50	lncRNA down	7	0.10842366022597841	0.9487521160451866	*
D14 vs D28	50	lncRNA up	2	0.10842366022597841	0.9487521160451866	*
D14 vs D28	50	Protein-coding down	14	0.10842366022597841	0.9487521160451866	*
D14 vs D28	50	Protein-coding up	27	0.10842366022597841	0.9487521160451866	*
