comparison	rank_idx	geneId	geneName	biotype	direction	rank_score	log2FoldChange	fc_for_filter	padj	pvalue
D0 vs D14	1	ENSG00000254339.5	AC064802.1	lncRNA	Down	10.155409238361772	-10.155409238361772	1175.7328226475045	1.3223403036082746e-22	1.0853925793241278e-23
D0 vs D14	2	ENSG00000236673.5	AL117378.1	lncRNA	Down	9.933151205569006	-9.933151205569006	944.2792465087404	1.1513307300476338e-21	9.824654469233565e-23
D0 vs D14	3	ENSG00000132297.11	HHLA1	Protein-coding	Down	9.241177824591807	-9.241177824591807	Inf	3.1192438784030264e-18	3.1549203614258016e-19
D0 vs D14	4	ENSG00000254934.5	LINC00678	lncRNA	Down	9.16892961334571	-9.16892961334571	593.5172328581309	2.1550326471641114e-35	1.0898404618423574e-36
D0 vs D14	5	ENSG00000253507.5	AC104257.1	lncRNA	Down	9.154095704115246	-9.154095704115246	566.5781610618623	7.408756280164121e-44	2.9159827924844206e-45
D0 vs D14	6	ENSG00000156234.7	CXCL13	Protein-coding	Up	9.08238527569737	9.08238527569737	Inf	1.381710187468747e-13	1.8747133066126755e-14
D0 vs D14	7	ENSG00000282024.1	AL009031.1	lncRNA	Down	8.776119863408576	-8.776119863408576	577.5331651533302	1.3742659062592634e-16	1.530215345274107e-17
D0 vs D14	8	ENSG00000185559.14	DLK1	Protein-coding	Up	8.521838768924864	8.521838768924864	367.24854621093715	3.789531420961622e-300	1.0198335288526456e-302
D0 vs D14	9	ENSG00000131203.12	IDO1	Protein-coding	Down	8.515542302015927	-8.515542302015927	Inf	1.9836395205236574e-15	2.36666567597799e-16
D0 vs D14	10	ENSG00000219445.2	AC019155.2	lncRNA	Down	8.377227802173543	-8.377227802173543	351.5664929309158	1.6083796858470445e-29	1.000953942190076e-30
D0 vs D14	11	ENSG00000103089.8	FA2H	Protein-coding	Down	8.349365293696268	-8.349365293696268	Inf	8.040046460922897e-15	1.0029773141709715e-15
D0 vs D14	12	ENSG00000182968.4	SOX1	Protein-coding	Up	8.296449988288368	8.296449988288368	Inf	2.098689559655966e-11	3.2993527277838804e-12
D0 vs D14	13	ENSG00000197462.3	AC003975.1	lncRNA	Down	8.290530956027924	-8.290530956027924	Inf	1.3041908576425842e-14	1.6474220690001918e-15
D0 vs D14	14	ENSG00000075388.3	FGF4	Protein-coding	Down	8.077375179470373	-8.077375179470373	Inf	8.545231840921295e-14	1.1421749668511083e-14
D0 vs D14	15	ENSG00000278910.4	BANCR	lncRNA	Down	8.038891622226688	-8.038891622226688	Inf	1.0718349481181901e-13	1.4440566160170503e-14
D0 vs D14	16	ENSG00000180347.13	ITPRID1	Protein-coding	Down	7.910327651046898	-7.910327651046898	Inf	3.133226011604267e-13	4.3530691056040446e-14
D0 vs D14	17	ENSG00000197408.9	CYP2B6	Protein-coding	Down	7.874562749026177	-7.874562749026177	280.23141133117826	2.2642351799811488e-13	3.1165605331092846e-14
D0 vs D14	18	ENSG00000184344.3	GDF3	Protein-coding	Down	7.853854440091238	-7.853854440091238	223.53796520420488	1.0128140128991113e-13	1.3622677825437139e-14
D0 vs D14	19	ENSG00000215866.7	LINC01356	lncRNA	Down	7.84605043416335	-7.84605043416335	232.24222483941975	1.945139428220183e-180	1.2432490178128552e-182
D0 vs D14	20	ENSG00000274652.1	AL157817.1	lncRNA	Down	7.793112733459674	-7.793112733459674	Inf	7.74233779772445e-13	1.1017074080861546e-13
D0 vs D14	21	ENSG00000254365.1	AC091820.2	lncRNA	Down	7.79309920081462	-7.79309920081462	Inf	7.752089543523993e-13	1.10352967879611e-13
D0 vs D14	22	ENSG00000230798.5	FOXD3-AS1	lncRNA	Down	7.780261432906934	-7.780261432906934	223.0249502756473	2.6237685016494917e-19	2.508143807643184e-20
D0 vs D14	23	ENSG00000258609.3	LINC-ROR	lncRNA	Down	7.751945379657824	-7.751945379657824	Inf	1.2736332325053889e-12	1.8373280484617435e-13
D0 vs D14	24	ENSG00000162344.3	FGF19	Protein-coding	Down	7.733644827609574	-7.733644827609574	254.06796251932272	6.717633427122403e-13	9.513759832311723e-14
D0 vs D14	25	ENSG00000249152.1	LNCPRESS2	lncRNA	Down	7.6883787453616526	-7.6883787453616526	246.17300956552663	9.513301847539737e-13	1.3622433796039745e-13
D0 vs D14	26	ENSG00000111783.12	RFX4	Protein-coding	Up	7.621581514181534	7.621581514181534	199.11974420393557	8.365906005172221e-13	1.1951294293103172e-13
D0 vs D14	27	ENSG00000282048.1	AL591742.2	lncRNA	Down	7.523142593510611	-7.523142593510611	180.66364978738332	4.822200703540506e-18	4.928723863284561e-19
D0 vs D14	28	ENSG00000260834.1	AC009055.2	lncRNA	Down	7.470771097962703	-7.470771097962703	186.04187592000457	8.633288764480881e-18	8.94984913967546e-19
D0 vs D14	29	ENSG00000232301.2	LNCPRESS1	lncRNA	Down	7.439426769993529	-7.439426769993529	181.59330985464678	1.4161889320235067e-17	1.4847910422089917e-18
D0 vs D14	30	ENSG00000143632.14	ACTA1	Protein-coding	Down	7.434540248310421	-7.434540248310421	173.5223874515576	1.9049144519150923e-106	2.6380010631477225e-108
D0 vs D14	31	ENSG00000120949.14	TNFRSF8	Protein-coding	Down	7.433674572180848	-7.433674572180848	206.5473390979331	6.667267053341812e-12	1.0145191064571472e-12
D0 vs D14	32	ENSG00000255192.5	NANOGP8	Protein-coding	Down	7.431813616525428	-7.431813616525428	227.55851665244194	6.667267053341812e-12	1.0142974939361451e-12
D0 vs D14	33	ENSG00000187867.8	PALM3	Protein-coding	Down	7.420594834570228	-7.420594834570228	225.5873587095327	7.683377268178576e-12	1.1734424578671475e-12
D0 vs D14	34	ENSG00000136110.12	CNMD	Protein-coding	Down	7.393530644767764	-7.393530644767764	169.2040630041593	6.812819545095762e-23	5.5347474326327424e-24
D0 vs D14	35	ENSG00000111704.10	NANOG	Protein-coding	Down	7.286715331170066	-7.286715331170066	156.45464417668333	1.6558680166841316e-43	6.591535612501308e-45
D0 vs D14	36	ENSG00000167634.12	NLRP7	Protein-coding	Down	7.23759369603101	-7.23759369603101	Inf	6.443209151009271e-11	1.0526750093093192e-11
D0 vs D14	37	ENSG00000254587.1	AP003066.1	lncRNA	Down	7.234075845059147	-7.234075845059147	Inf	6.461748569739618e-11	1.0560662189275054e-11
D0 vs D14	38	ENSG00000138722.9	MMRN1	Protein-coding	Up	7.2161823308917965	7.2161823308917965	169.1007166863891	7.341947027037334e-9	1.4279667098448368e-9
D0 vs D14	39	ENSG00000182866.16	LCK	Protein-coding	Down	7.159538464951687	-7.159538464951687	135.78467548398646	1.917350528943843e-11	3.0078194550262795e-12
D0 vs D14	40	ENSG00000241186.9	TDGF1	Protein-coding	Down	7.140368553616081	-7.140368553616081	139.5937045170224	5.3704047740124187e-138	5.118685868928634e-140
D0 vs D14	41	ENSG00000125798.14	FOXA2	Protein-coding	Up	7.132699118235731	7.132699118235731	Inf	1.7537604621129278e-8	3.5427219920345805e-9
