lnc_geneId	lnc_gene_id	lnc_geneName	target_geneName	target_geneId	target_gene_id	cor	p_cor
ENSG00000173811.10	ENSG00000173811	CCDC13-AS1	CCDC13	ENSG00000244607.6	ENSG00000244607	0.7497369696825402	0.012526122322210839
ENSG00000179818.13	ENSG00000179818	PCBP1-AS1	PCBP1	ENSG00000169564.6	ENSG00000169564	-0.811079887019879	0.004406364482095419
ENSG00000182912.6	ENSG00000182912	TSPEAR-AS2	TSPEAR	ENSG00000175894.16	ENSG00000175894	0.7919597507049955	0.006321474577342901
ENSG00000184809.12	ENSG00000184809	B3GALT5-AS1	B3GALT5	ENSG00000183778.17	ENSG00000183778	0.9389730624400313	5.6350710609668494e-5
ENSG00000196951.10	ENSG00000196951	SCOC-AS1	SCOC	ENSG00000153130.17	ENSG00000153130	0.673143442719262	0.03289209523893966
ENSG00000197291.8	ENSG00000197291	RAMP2-AS1	RAMP2	ENSG00000131477.10	ENSG00000131477	0.7319596788538838	0.01609928211494694
ENSG00000197308.9	ENSG00000197308	GATA3-AS1	GATA3	ENSG00000107485.16	ENSG00000107485	-0.6584093176618301	0.03845531741572118
ENSG00000198711.5	ENSG00000198711	SSBP3-AS1	SSBP3	ENSG00000157216.15	ENSG00000157216	0.8509494725799551	0.0017965575283010974
ENSG00000203362.2	ENSG00000203362	POLH-AS1	POLH	ENSG00000170734.11	ENSG00000170734	0.6894159039848683	0.027413330101462387
ENSG00000203865.9	ENSG00000203865	ATP1A1-AS1	ATP1A1	ENSG00000163399.15	ENSG00000163399	-0.6413912905515488	0.04563177865757675
ENSG00000204044.6	ENSG00000204044	SLC12A5-AS1	SLC12A5	ENSG00000124140.13	ENSG00000124140	-0.8562090775857085	0.0015664927689959887
ENSG00000205930.8	ENSG00000205930	C21orf62-AS1	C21orf62	ENSG00000205929.10	ENSG00000205929	0.8540997628257584	0.001656021650929702
ENSG00000213742.6	ENSG00000213742	ZNF337-AS1	ZNF337	ENSG00000130684.13	ENSG00000130684	0.7741824038060955	0.008574400235990808
ENSG00000215067.9	ENSG00000215067	ALOX12-AS1	ALOX12	ENSG00000108839.11	ENSG00000108839	-0.8515183050328049	0.001770566135684048
ENSG00000215196.4	ENSG00000215196	BASP1-AS1	BASP1	ENSG00000176788.8	ENSG00000176788	0.7311016343490941	0.016287834987453776
ENSG00000218537.1	ENSG00000218537	MIF-AS1	MIF	ENSG00000240972.1	ENSG00000240972	0.632520005346245	0.049705105689864894
ENSG00000223534.1	ENSG00000223534	HLA-DQB1-AS1	HLA-DQB1	ENSG00000179344.16	ENSG00000179344	0.6486918191671462	0.042452095374003476
